,review_title,reviewers_name,review_body,star_rating,review_date,helpful_votes
0,As expected. Just Loving it.,Sourabh singh,Super sleek machine with ultimate power house hardware. Bought 512GB model with 16GB RAM.,5.0,18 May 2024,12
1,A mixed feeling it is,ANU NAIR,"The media could not be loaded.
                



Doesn't have a cooling vent so you can keep it anywere, without worring about dust getting in, however it an hassle if you don't have a microsoft home subscription.",4.0,25 June 2024,4
2,It's good,mallikarjun kumatgi,It's good and reliable and easy to use. It was meant to be for the IT professionals and we made use of all the features,5.0,9 April 2024,18
3,Best machine ðŸ˜Ž. Battery backup is up 10 hours easily. Easy to us. Genuinely love it.,Pranay mali,Quality is fantastic. And performance is mind-blowing.easy to use. Display is also good. Easy to handle in bags due to its thiness,5.0,25 May 2024,4
4,This is just amazing,Kavita bagaria,I liked everything about it because it's so fast and it's very useful for my video editing and for University,5.0,20 May 2024,3
5,Unable to  install software,Kindle Customer,Unable to install Xcode and some other software,1.0,11 April 2024,21
6,Must buy(if you have the money),Mahesh kumar Upadhyay,"The battery lasts for 8-10 hrs easily, the screen is just too good and handles everyday tasks very, very easily. The sound quality is top notch as well. The Os, which is the selling point of  macbooks, has delivered once again. Recommended for college students and IT professionals. Go for starlight colour instead of midnight.",5.0,30 April 2024,16
7,After use one month,DIGi Innovative Solutions,"Over-all this is good to have but it's battery is not as mentioned in description.I am using vscode for development code a, slack/meet during day time and battery lasts only arround 4 hours.Other this it's awesome product",3.0,6 July 2024,0
8,Hangs Up a lot,Ankit Pandey,"The media could not be loaded.
                



Bought the laptop 5 days ago , hasn't even been a week. Hangs up multiple times.",2.0,3 May 2024,21
9,This is what I received. A piece of junk,Amazingly good!,"The media could not be loaded.
                



Please do not buy it.",1.0,26 May 2024,17
10,"8gb ram is too much, they can give 64mb ram and gives us good old days back",jaipal,"8gb ram is too much, they can give 64mb ram and gives us good old days back. and 512mb hdd is enough.",2.0,22 June 2024,3
11,Defective  piece not good,TRINATH GUDURI,It's not letting to login even though the right passward is entered.Defective OS.It's been couple of hours i bought it all of sudden it logged out and now it's not logging in,1.0,12 April 2024,10
12,Efficiency of your MAC,Gobinda dey,"This Mac has the best Processor for moderate use. Display is awesome. So smooth to use, with best security. You can simply go with it.My story with MAC :  .........Mac OS is the best, for those who are willing to work on it. If you are Doctor/Engineer/Any Other important field can surely buy this. I'm using a Mac from 2017. It's still working with me. ðŸ˜Š",5.0,31 March 2024,9
13,Love it,Sahin,"This m3 macbook air is fabulous. It's fast, performance is good battery life goes 2 days , display is beautiful I can't even see this type of display in any laptops, I love to have it.",4.0,15 April 2024,7
