,review_title,reviewers_name,review_body,star_rating,review_date,helpful_votes
0,One of the best smartphones available as for 2024.,Placeholder,"Booked my 12+512gb version as soon as it was launched. And after using it for more than a month, here's my review.Pros1) exceptional camera quality. The 12MP ultra-wide does it's job and I would say going for 5x optical zoom with 50MP sensor instead for 10x 10MP sensor is a better choice as upto 30x I would say the pictures are more crisp than S23 ultra.2) Build quality is premium. It feels like a high budget smartphone. Not sure if titanium armor is enough to withstand high drop possibilities, but it does make it lighter.3) Screen is a big improvement. The anti reflective Corning Gorilla glass armor does it's job and reflects most of the glare so you can sit easily and watch without worrying if the person sitting next to you is watching coz they can't. 😁3) S-pen has improved a bit. A lot of people are saying that they don't use it much after first time, but that's not the case with me. If you will get the hang of it, you will use it quite often.4) AI interface is quite excellent. Although in initial phase, it does it's job in notes and summarising big pages so that you can easily get the gist.5) 7 years OS and security update is a big big up from my side.6) The box like built rather than a curve display is a better choice. It's easier to find a screen protector.7) sanpdragan 8 gen3 is fast. You can play high end games at maximum capacity. Android 14 with one UI 6 is smooth as you can hope it would be. I haven't recorded any lags or heating issues as for now.Cons1) Anti refective display works until you put  the above mention screen protector. After that it won't work with that precision. Although it still does it's job.2) Selfie camera is still not that great if you're using iPhone 14 or 15 pro.3) generative AI is not that great in calls and photo editing. Also, to pay for these services after 2025 is a big drawback from Samsung.4) Samsung is still not implementing faster charging protocols on their high and mid range smartphones. In a time when OnePlus is offering 100W charging speeds and xiomi offering 50-80W wireless charging, Samsung is still stuck with 45W and 15W wireless charging. Big drawback. However, battery do last for a full day.5) speaking of charging, no charger included is a serious letdown when you're spending more than a lac on a high end smartphone. Samsung, it doesn't feels good. 😔Overall, a good smartphone if you're thinking to go for a big one for a long time.",5.0,8 March 2024,170
1,Powerhouse s24 ultra,Ankita,"First of all i was a iphone 12 user i switched to s24ultra. i was looking for a upgrade in terms of camera software display. I had only two phones selected iphone 15 promax amd s24 ultra. S24u was costing me 80k with all offers whereas 15promx 1.26lakh  so went for s24uNow s24 using since 1monthAndroid 14 ui 6 is powerfulDisplay is awesome flat screen looks wonderfulProcessor is fastFingerprint sensor is goodCamera quality is great zoom portrait 3x 5x is very goodBattery gives 18hrs backup easily with 8-9 hrs of screentimeS pen is awesome making notes is so much funAI features are really helpful and it works flawlessly its something to experienceNot to likeWeight of the phoneTwo handed use since its a big phoneSize in pocket feels uncomfortable due to sharp cornersSecurity when compared to iphone is not great iphone is another level when comes to securityWeight and size made me rethink about my decision but now bit used to but still miss my iphone ease of use eg to take selfie its very cumbersome to use of Weight and sizeProfessional Summary:I recently transitioned from an iPhone 12 to the Samsung S24 Ultra, seeking an upgrade in terms of camera quality, software, and display. After careful consideration, I chose the S24 Ultra over the iPhone 15 Pro Max due to its more favorable price point.Observations after one month of usage:1. Android 14 UI 6: The user interface is robust and powerful, providing a seamless user experience.2. Display: The flat screen offers excellent visual quality and clarity.3. Processor: The device's processor delivers fast and efficient performance.4. Fingerprint Sensor: The fingerprint sensor functions effectively and reliably.5. Camera Quality: The camera system, particularly the zoom and portrait modes, produces impressive results.6. Battery Life: The battery provides exceptional longevity, supporting up to 18 hours of usage with extensive screen time.7. S Pen: The S Pen stylus enhances productivity and creativity, making note-taking and other tasks enjoyable.8. AI Features: The device's AI capabilities are highly effective and provide valuable assistance.Areas for Improvement:1. Weight: The weight of the phone can be cumbersome and may require two-handed usage.2. Size: The large size of the phone can be uncomfortable to carry in pockets due to its sharp corners.3. Security: Compared to the iPhone, the S24 Ultra's security features may be perceived as less robust.While the weight and size initially raised concerns, I have gradually adapted to these aspects. However, I occasionally miss the ease of use offered by my previous iPhone, particularly when taking selfies due to the weight and size constraints.Overall, the Samsung S24 Ultra offers a compelling combination of features and capabilities, making it a worthwhile upgrade for those seeking a powerful and versatile smartphone.",5.0,17 May 2024,4
2,Flagship is Flagship ?,WRITZ,"In a simple word,Display - 9.5/10 (If you want to exploit the latest anti reflection coating you must not apply Tempered glass)Battery - 8/10 (Overall Good)Processor - 9/10 (fast enough)UI - 10/10 (Too many customization)Fast Charging - 8/10Fingerprint Sensor -9/10 if no tempered glass (used for a very little span of time as attached tempered glass after a day)6/10 if tempered glass attached (most people use tempered glass)Haptics - 7/10 (Not too good, expected more)Loud Speaker - 8/10 (Quite Loud, crystal clear, good separation of frequencies)Earphone Output - 9/10 (Undoubtedly one of the best in the segment)SPen - 8/10 (Not too useful in daily life for a normal user)Galaxy AI - 7/10 (Used circle to search, Photo Edit features etc mostly)Build Quality - 8.5/10 (A perfectly weight balanced phone, premium material, matte glass back beautiful)=====Camera =====(Both photo and video)Main Lens - 8.5/10Ultra Wide Lens - 8.5/103X Zoom Lens - 7/10 (Poor Low Light performance)5X Zoom Lens - 9.5/10Flash Intentity - 7/10 (Expected more from a flagship phone)Stabilazation - 9/10SlowMo - 8.5/10Fast moving object shoot - 7/10Front Camera - 9.5/10Cons:1. At darkeness minimum brightness is too high.2. Phone gets pretty warm (38 - 42 deg Cel) while using 5G, Camera continuously.3. Camera app Unnecessarily boosts the images sometime, mostly low light photos, thus ruins the natural color and tone.4. No pro mode after 10x zoom.5. Expert RAW app is not very user friendly.6. Most annoying is the fingerprint scanner after applying the tempered glass.Overall Rating - 8.5/10",5.0,4 May 2024,16
3,Good display & features but price is very high,Amazon Customer,"Good display & features, but price is very high, (mobiles we should buy below 40k only since all features are almost same) this phone looks premium than iphone. It's value for money compared to iPhone but not vfm if compared with other android. Battery is getting drained if we don't make proper setting to apps sleep. Feels bulky particularly when removing from pocket while receiving calls.",4.0,7 March 2024,31
4,One of the most excellent smartphone,Akash Borse,"The device has proven to be a remarkable technological advancement, offering exceptional performance and user satisfaction. Since its initial release, I have personally utilized it and can attest to its seamless operation and rapid processing speed. Additionally, the audio quality is commendable, and the camera captures stunning images. The integration of AI features further enhances its capabilities, making it a truly remarkable device. However, the battery life could be improved to provide a more extended usage time.",5.0,9 May 2024,3
5,Never Order Expensive Phones from Amazon,Rave,"The service centre says the reason why my lower inside speaker is making a mettalic sound is because the phone was used roughly! A month in i noticed the issue, cause weird sound issues is not something one grabs right off the bat.Going back to the day the phone was delivered. The packaging was like that of a bar of soap, just a couple of thin layer of pop wrap. It was so beat up, that the delivery man couldnt belive me when i told him inside is one of the most expensive phones available.I opened it in front of him just in case.Amazon you have started to take your loyal cutomers for granted. Thank you for all the pain and hassale. I will never forgive your bad excuse for a company for this.",1.0,7 May 2024,7
6,Most powerful phone in this planet,Ankit sahu,"1) battery  life is crazy good2)Al is wonderful,interpreter,live translate,Good lock customisation and circle to search.3)samsung  is already master in Making screen.4) Camera is fantastic 👌 and its editing features colab with AI.In last JUST GO FOR IT ""ITS A BEAST""",5.0,21 April 2024,10
7,Soooo good!,Niyas Ahamed,"Great Product looking premium very good performance battery life is normal, may be two or three times to charge a day charging is slow, taking 1hr to 1hr15mins to fully charge, heating issue is there. Otherwise amazing mobile from samsung",5.0,10 April 2024,14
8,About s24 ultra,Placeholder,It's Performance is much better than a iPhone and the heating is there but it's because of the temperature in your surrounding,4.0,15 May 2024,0
9,AI is awesome features,Placeholder,everything is perfect till now purchased one month ago,5.0,21 May 2024,0
10,Face unlock bit slow,Teja,Face unlock bit slow,4.0,6 April 2024,5
11,Have heating issue,Anonymous,Used for 3 days and can see it heats up heavily while using camera and transferring data from my old phone.,4.0,2 April 2024,13
12,Photo quality and  video quality is good & AI features are the best,Prashant Ganorkar,Praently there is no dislike,5.0,11 May 2024,0
13,Bikar fone hain,sahil sk,"Ekdum bekkar fone hain,  call par baat karte time mobile  ka light bhaag jatta hain, koi maat lo main faas giya hu, aap log koi fassna maat",5.0,30 April 2024,0
14,We have face pickup issue Samsung's brand is good but some product,Rishabh,We have face pickup issue Samsung's brand is good but some products face issue Samsung's please solve this  Samsung's because customer face issue  this kind of issue hope you improve service and also improve service centre service,3.0,24 April 2024,0
15,Features,Johnson,Every gesture is good,5.0,3 May 2024,0
16,Beast of a phone!,Manbir Singh,"Pretty much the best android phone in the market.Excellent camera, excellent screen quality.",5.0,24 April 2024,2
17,Ok,Sanket Maity,"Display should be curved display like previous model,battery is draining fast.",4.0,19 March 2024,43
18,Best Android Phone Currently,Dr. Kaushik Vailaya,"Amazing phone.  Already in love with S24 Ultra, after just 2 hours to using it",5.0,13 April 2024,6
19,over heat,Karthik S,Phone is getting over heated after using 90 min continously,3.0,23 March 2024,11
20,Best camera phone in 2024,Kiran,Amazing camera and it will be the best choice for content creators and youtubers,5.0,27 March 2024,0
21,What a mobile device it is! Beautiful and the Beast!,Gaurav Sharma,What is there not to like in the S24 Ultra? But I was happiest about the flat screen this time around as I had had enough of the curved screens in the previous iterations.I have been using the device since almost over a month now and I am very happy with its performance.The camera is the Show Stopper and the AI features are the toppings.Fall in love with the S Ultra series all over again.,5.0,8 March 2024,20
22,Noch top camera,Priyanka,Best camera .. better than. I phone 15 pro max,5.0,14 March 2024,6
23,Samsung S24 Ultra 💥💥💥,KOTI NAGA PURNA CHANDRA RAO,Samsung S24 Ultra Biggest Android Smartphone of 2024,5.0,4 March 2024,2
24,Very nice Product,A K Bhatnagar,"Very useful . If RAM size increased, this Hand Set could have been supercede all other Mobile hand sets",5.0,3 March 2024,4
25,Good camera qwality,Preeti devi,Nice,5.0,3 March 2024,10
26,Doesn't feel like a flagship,Aaishik Dutta,"First of all the violet with titanium sides looks really ugly. Looks like someone added a cheap cover to the phone. The phone is boxy and screen real estate feels low. The camera holes and placement looks cheap. Samsung's fast charging doesn't even come close to One Plus. And the Samsung UI is terrible. Contrary to what you may hear from youtube personalities, this phone is actually pretty below average.",2.0,27 February 2024,32
27,Best smartphone of 2024,Placeholder,Highly recommend this in this segment,5.0,28 February 2024,20
28,Phone is too heavy for daily use,Chandrakant,"If you are buying for daily use, consider the weight is 240gm which painful.Also it lacks basic features which are easily available in Lower segment phines like app lock, network speed.Camera quality is good, battery back is also good but its definitely not daiky use phone",1.0,21 May 2024,0
29,It's good product but i received broken phone,Hitendra Solanki,Delivery associate but packaging was unfair and rude conditions,1.0,22 May 2024,0
30,Outstanding,Raj,"The media could not be loaded.
                



Beautiful phone with King Camera and features😍😍",5.0,27 February 2024,70
31,Very disappointed,madhu,"I have been using this mobile for 2 weeks now. And I need to install software from service Centre for2 times now. And again facing Over heating while using camera or while on video cal, too much lag for screenshots, always error messages are popping up saying "" Process system is not responding "", side buttons are not working properly to control media volume. Cheap Smartphones from 2nd hand markets are performing well than this flagship AI Samsung S24 ultra.",1.0,30 March 2024,20
32,Leaving Amazon and encourage others to leave it,A Ghosh,Paid 1.35 lac for a mobile. Battery drain issue. Amazon won't replace. Felling cheated. Leaving Amazon and will persuade others for not purchasing anything from amazon,1.0,21 April 2024,15
33,Very poor service by Amazon,swarup jyoti goswami,I have ordered the mobile by exchanging my old one but when the package came to me the executive told me that security code does not match while the model is same and IMEI is also matching. Not happy at all,1.0,6 April 2024,8
34,Poor product,kunjal pandya,"Many marketing has been done for many things1. Camera is not great as I compared to iphone 13 pro2. Performance is greatDisplay I was having issue, looks like washedout colors3. Video was creating unnecessary noise at night4. Sound is goodI don’t know why such thing happened, bit when compared to samsung shop display piece, my phone was very inferior, so returned it without second thought.",1.0,12 March 2024,14
35,Good product and nice camera quality,Abhinav jain,"very good camera, good product camera is better than I phone. you can buy this if you have money. to buy this phone money is vey important. get money and get this phone. This world runs through money if you have money you can get whatever you want in life.",4.0,28 February 2024,17
36,Very good phone,Amazon Customer,The phone is good as well as camera is fantastic. Processor is also performing well. The design is also unique one .,4.0,27 February 2024,7
37,"The pen inside the box, kindly check everything before using",Anupama .k.rajendran,The media could not be loaded.,1.0,28 April 2024,4
38,Best Smartphone Ever  S24U ❤️,Charan,"Good lock app will be the game changing here, that we never see in any iphoneCamera10/10Processor 10/10Videography 9/10Display 10/10Speakers 9/10 (should have placed in better position)Battery Backup 10/10Screen 10/10Customization 10/10No Lag 10/10 (smooth af😍)Connectivity 10/10Performance 10/10 (Beast 😈)",5.0,16 May 2024,0
39,Monster.,Amazon Customer,"What a awesome Display, just mind blowing mobile phone of 2024. Better than I phone. No. 1 mobile of 2024.",5.0,18 May 2024,0
40,Worthy upgrade over s23 ultra,Mohit Malik,The camera is much better in comparison with the s23 ultra. Shutter speeds and processing has improvedDisplay is top notch as wellOverall UI and performance is great tooI’ve used this alongside s23 ultra and iPhone 15 plusThe 15 plus is still brighter but seems as though s24 ultra is bright when you need it and color accuracy in bright outdoorsy environments is betterThe phone doesn’t heat even under heavy workloads unlike my iPhone 15 plus,5.0,25 April 2024,0
41,Sold my car to buy this,AJ,"What an amazing product.After seeing the glowing reviews, I had to go and experience this god send product in the Samsung store myself.After playing with it in the store, taking pics of other phones and strangers in the store, I fell in love.I sold my car the next day to get money for this as it was more viable over selling kidney or other organs. I also sold my only double bed, table and old phone to get the 512gb version because who needs SD cards.After buying it with cash (since I don't like taking loans) I was truly blown away. I now Uber everywhere or walk and take pictures on the way. Sometimes some may say that I look like a creep with the amazing zoom but who cares. I paid for it.This is trully the best phone on the market hands down. I am planning to sell my house and potentially the first born for future upgrades of this esteemed phone.",3.0,27 February 2024,80
42,Prepurchase Opinions & Help,AG,"I own a Samsung S23. I love Samsung. I'm an avid fan of AI. There are only a few reasons I am not purchasing this phone, and you should consider them as well.1. Most of us will not use at least 20% of the features in everyday life. That has been the case with every phone I've ever purchased.2. It is ridiculous that a phone at this price doesn't include a charger. As classy as their phones are, that's a sleazy move on their part.3. Charging speeds? That is something most of us care about on a daily basis!4. Subscription payment plan? Download some free AI apps and you're done.5. If there was a global poll, I can guarantee you most people would not miss the pen. Therefore it's a somewhat and sometime useful addition since it's there. It's not a requirement. You know what is? A charger! 🙂The S23 is an incredible phone, and I'm sure this one is too.I just realized I paid way too much for a phone. I realized I could have saved 40% of what I paid and donated it to some charity.Think before purchasing any phone, especially at this price. We can get over 95% of what we need in a smartphone for far less.",3.0,21 April 2024,6
43,A true flagship but s23ultra is better value,Rakshit Shetty,The phone ticks all the boxes but there is only incremental refinements since s22 ultra .The cameras are almost identical in s23ultra s22ultra and s24 ultra . I am barely noticing any major upgrade in cameras .They should have gone for a triple 200mp sensor for main 3x and 10x and that would have been a major upgrade since there is no space to have dual periscope cameras. Using sensor crop they would have been able to get optical quality till 10x and then till 40 x they could use sensor cropping ....With no perceptible upgrade in cameras it is a sort of a let down and s23ultra is more value for money ...Going for a 5x 50mp sensor is like going back to the s20 ultra days which had a 4x 48mp sensor .Pixel 7 pro xiomi 13 ultra etc all had this  5x 50 mp sensor camera tech since 1 to 3 years ago ....Other than that the phone is top of the line state of the art ...Was expecting 5500ma battery on the lines of Vivo x100pro who is the current camera king 👑...Samsung needs to get their act together and up the ante ...,4.0,15 March 2024,3
44,Best Android Phone,Ashutosh Sharma,"Camera - 5/5Battery - 5/5Look - 5/5Display - 5/5Performance- 5/5Best phone ever I used, no lag, no heating issue, truecolors, so many features, even iPhone doesn't stand before it anywhere, proud owner of this true BeastWorth purchase",5.0,7 April 2024,0
45,"Smoother, faster and better ULTRA in 2024",Gaurav Kumar,"The media could not be loaded.
                



Build quality is amazing, turing the display flat is one of best decisions.Coming after S22 ultra I can notice many changes in the device.Cameras are better,Sound and haptics are amazing.Performance is faster,Software has gotten better, AI features are good. My go to favorite is circle to search and it's amazing tbh. Got used to it alot now.Battery life is sligthly on better side, not that great still I would say. My 22 ultra battery life used to suck after 2 years. Can only comment after long run use, but still it's a better than many other phones.Charing supports 45W fast charger, if you ask me comparison between 25W vs 45W charger you'll see only 10-15 mins difference max.So far so good. Cheers!!",5.0,6 May 2024,2
46,Samsung has run out of ideas,A. Louis,"This is actually nothing but the same old s22 ultra with a poorer display and a slightly faster processor,  The only reason to buy this over s22 ultra is you will get updates upto 2027 but spending 1.4 lakhs for a few updates is madness instead invest money in the stock market and double it ....",5.0,24 March 2024,2
47,Best phone in this Segment having lot features.,praveen,I like this phone because of the advanced technology and hardware. camera Quality is really good . 🔋 Battery seems good backup.,5.0,28 March 2024,0
48,Lag in frame drops,Reena,I usually play high graphics game and I saw a frame drop of around 0.25 seconds....... request to fix the issue.....all rounder by the way,5.0,13 March 2024,0
49,Best phone but online wrong pricing,Utpal jana,Phone is awesome though some glitches are there but still one of the best.The pricing is at a higher side on amazon..mumbai 512 gb varient rate is Rs.120000...but amazon and other portal are selling for premium rates.,5.0,9 March 2024,4
50,The best phone of 2024,Amazon Customer,"This phone is one of the best phones in the market. Best camera,  AI features, S pen , etc., it's a definitely a must guy for anyone who wants a phone right now",5.0,10 March 2024,0
51,Best phone ever.,Divit,This product is very nice with Galaxy AI. Camera is totally superb with 100x zoom.It is best phone in the entire universe.,5.0,1 March 2024,2
52,"Fabulous camera of all time, best for ecosystem",Kalpit Sushilkumar Patil,"Ai features is wonderful for a phone,You must buy or try this product and cameraI would buy samsung ecosystem instead of apple",5.0,26 February 2024,22
53,Absolute Beast,Placeholder,The best flagship smartphone ever. Just go for it. I have been using s24 for quite some time now and it's just wonderful.,5.0,28 February 2024,3
54,Justifiable price,Maverick,"The media could not be loaded.
                



the Samsung Galaxy S21 FE is a good value phone with 4k 60 fps recording and a premium display. Outlook India says the Samsung Galaxy S23 Ultra 5G is the best Samsung phone of 2024,",5.0,21 March 2024,4
55,worst water resistant phone I have ever seen,Salman khan,I bought this phone just after the launch it came under the water hardly for 10 seconds after 10 minutes screen got blank now the customer care centre is saying it is not capable for that that's how Samsung launch their top notch phone with this quality which can't handle water consumption for 10 seconds. Now they are saying you have to pay 80k to get it fixed,1.0,30 April 2024,4
56,exchange scheme is a big scam by amazon and samsung.,Placeholder,"When you exchange, though the old phone is in excellent condition, the exchange will be rejected as the exchange otp would not work and the delivery agent will ask you to pay the difference amount of the exchange phone. I beleive its a scam by amazon and samsung.",1.0,11 May 2024,0
57,S14U Most refined design since S22,TGC Das,To keep it simpleDisplay. Simply excellentUI. Super smooth with tons of featuresCameras. Very good but can be improved.Performance. Meets every task quickly with no delayAI features are great when needed while call translation needs improvements.Battery life. Excellent. While it would depend on usage type. Non gamers can get 2 days with expected normal usage of 3 hrs screentime perday.Standby time. Around 3 percent drop during night which is good.Call quality and volume. ExcellentSignal strength. Could be better with X75 modem.Design flaws.  S pen location and bottom speaker are on the left instead of right but no space due to cameras on right. This blocks the speaker while holding.3X camera could have been better and for the rest software updates should improve further.Signal reception could have been stronger.,5.0,8 March 2024,0
58,Nothing,Very good phone,"The media could not be loaded.
                



Very good phoneSamsung galaxy s24 ultra pro maxVery nice 👍 and affordable phone 🙂I want to buy this company.Price???",5.0,12 March 2024,5
59,Over heating please don't buy,Amazon Customer,1) Finger print not working properly without any screen gard2) Face id too not working 80%3) major issues phone is heating constantly continuously and the temperature of phone you can't handle it in your hands that much hot it gets4) battery drains constantly .I will not prefer anyone to buy this device because doesn't get anything good in this device.Stay away and we aware of s24 ultra,1.0,27 March 2024,11
60,Samsung galaxy AI S24ultra,Sandeep gowda,"The media could not be loaded.
                



I love ❤️ you samsung galaxy AI S24ultra 😍 bueatiful mobile  fast  working really smooth work love u sooooo much",5.0,7 March 2024,6
61,Awesome Phone,Ashish C.,"The media could not be loaded.
                



Awesome CameraAwesome DisplayLong lasting Battery Life 😍.The best phone I ever had.Photos uploaded from this phone is really awesome in Instagram.No heating issues. Just pure performance 👏",5.0,29 February 2024,22
62,Samsung is not trustworthy,Sreeraj N,"Samsung is a worst company in after services in my experience. I purchased a Galaxy A73 1.8 months before. After the software updating, I faced green line issues. I approached the authorised customer care centre at Calicut but their couldn’t consider the issue seriously and advised to change display with Rs.8500 /- I so many times contacted the customer care centre but there is no use. Finaly, I arranged Rs.8500/- and approached the company again but their increased the display amount to almost Rs.10000/- as a fraud and not trustworthy. The service centre is situated in a corner of the city, there is no proper buss Rute also and so difficult to travel. Service centre executives are not trained and responsible to handily the customer. They just register the complaint that so. Other companies are something better than Samsung I think. They are providing maximum benefit in low cost and better services but Samsung offering minimum benefit in maximum cost and irresponsible services. So, I will not suggest Samsung to my friends and familiesSreeraj NCalicut, Kerala, India",1.0,27 April 2024,28
63,S22Ultra User to S24 Ultra User Persistent Signal Issues,Abhishek Sinha,"One thing. Regret buying this too much of advertised device. You would be surprised to hear S22Ultra had IP68 rating and still dust entered my camera lens internally. On top of it I was always out of network. Heart said to goFor iPhone which is consistent but went for S24 Ultra. The problem I inherited from S22 Ultra is of signal. Usually there is no network or I loose network while on a call or connecting to laptop through Hotspot. I changed SIM cards, ported to other network but the problem persisted.Did a google review on this and looks like I am not the only user with this problem. All the Ultra series right from S22 to S 24 have this problem. I inserted the same Sim in a 15K phone Samsung A13 and I had no such problem. So for almost 1 lakh rupees after exchange I have a brick for their advertised stuff instead would have bought DSLR. I cannot return but will have to endure it for sometime. Hence Regret massive regret to purchase this device. The decision is upon you folks and your own personal experience. For me it turned out a crap.Good things are screen, photography, UI smoothness.",2.0,29 February 2024,13
64,Everything good but display is c grade,AarDee,There is a real bad issue with anti glare screen of s24. Company finally admitted and brought an update but still no use. With vivid set to max still it's poor than old s10 phones. Display is the main feature of smartphone. What's the use of a smartphone that you can't watch properly.,1.0,11 March 2024,7
65,Donate it to me,This watch is really worth for money. This watch has extra features then what I expected. A great deal.,Not up to the markNot satisfiedI need my money back samsungAlthough I have keypad phone but don't waste ur money buying materialistic things instead donte it to me GOD will bless you 😂😅,1.0,26 February 2024,49
66,AI. Translation feature . Photo editing all choices High end phone,Placeholder,AI MOST LIKEDADAPTER ALSO WANTED FOR CHAREDGERCOVERING CASE SHOULD HAVE BEEN PROVIDED .SAMSUNG MOST LIKEDULTRA S 24 MOST MOST LIKEDSELLER SUPPORT EXCELLENTATTENDS ALL QUERIES,5.0,1 March 2024,0
